Area,Age,Gender,Population,
Hastings-Sunrise,50-54 years,Female,"1,355",
Hastings-Sunrise,55-59 years,Female,"1,140",
Hastings-Sunrise,60-64 years,Female,960,
Hastings-Sunrise,65-69 years,Female,655,
Hastings-Sunrise,70-74 years,Female,705,
Hastings-Sunrise,75-79 years,Female,655,
Hastings-Sunrise,80-84 years,Female,485,
Hastings-Sunrise,85+,Female,430,
Kensington-CedarCottage,0-4 years,Male,"1,275",
Kensington-CedarCottage,5-9 years,Male,"1,140",
Kensington-CedarCottage,10-14 years,Male,"1,200",
Kensington-CedarCottage,15-19 years,Male,"1,435",
Kensington-CedarCottage,15 years,Male,295,
Kensington-CedarCottage,16 years,Male,310,
Kensington-CedarCottage,17 years,Male,295,
Kensington-CedarCottage,18 years,Male,265,
Kensington-CedarCottage,19 years,Male,275,
Kensington-CedarCottage,20-24 years,Male,"1,700",
Kensington-CedarCottage,25-29 years,Male,"1,950",
Kensington-CedarCottage,30-34 years,Male,"1,820",
Kensington-CedarCottage,35-39 years,Male,"1,750",
Kensington-CedarCottage,40-44 years,Male,"1,855",
Kensington-CedarCottage,45-49 years,Male,"1,950",
Kensington-CedarCottage,50-54 years,Male,"1,670",
Kensington-CedarCottage,55-59 years,Male,"1,520",
Kensington-CedarCottage,60-64 years,Male,"1,190",
Kensington-CedarCottage,65-69 years,Male,720,
Kensington-CedarCottage,70-74 years,Male,680,
Kensington-CedarCottage,75-79 years,Male,635,
Kensington-CedarCottage,80-84 years,Male,440,
Kensington-CedarCottage,85+,Male,280,
Kensington-CedarCottage,0-4 years,Female,"1,170",
Kensington-CedarCottage,5-9 years,Female,"1,080",
Kensington-CedarCottage,10-14 years,Female,"1,165",
Kensington-CedarCottage,15-19 years,Female,"1,230",
Kensington-CedarCottage,15 years,Female,265,
Kensington-CedarCottage,16 years,Female,250,
Kensington-CedarCottage,17 years,Female,220,
Kensington-CedarCottage,18 years,Female,250,
Kensington-CedarCottage,19 years,Female,240,
Kensington-CedarCottage,20-24 years,Female,"1,675",
Kensington-CedarCottage,25-29 years,Female,"2,005",
Kensington-CedarCottage,30-34 years,Female,"1,895",
Kensington-CedarCottage,35-39 years,Female,"2,020",
Kensington-CedarCottage,40-44 years,Female,"2,020",
Kensington-CedarCottage,45-49 years,Female,"2,020",
Kensington-CedarCottage,50-54 years,Female,"1,830",
Kensington-CedarCottage,55-59 years,Female,"1,580",
Kensington-CedarCottage,60-64 years,Female,"1,255",
Kensington-CedarCottage,65-69 years,Female,815,
Kensington-CedarCottage,70-74 years,Female,805,
Kensington-CedarCottage,75-79 years,Female,665,
Kensington-CedarCottage,80-84 years,Female,520,
Kensington-CedarCottage,85+,Female,510,
Kerrisdale,0-4 years,Male,255,
Kerrisdale,5-9 years,Male,370,
Kerrisdale,10-14 years,Male,425,
Kerrisdale,15-19 years,Male,610,
Kerrisdale,15 years,Male,115,
